epoch,train_loss,train_acc,train_auc,train_f1,train_threshold,dev_loss,dev_acc,dev_auc,dev_f1,dev_threshold,lr
1,0.7838706995972565,0.5171428571428571,0.5017061224489796,0.2318181818181818,0.6499999999999997,0.7105216564734776,0.6733333333333333,0.7018666666666666,0.6573426573426573,0.45999999999999985,4.4636e-05
2,0.6981633948534727,0.6242857142857143,0.6684285714285715,0.5652892561983471,0.5699999999999997,0.6889279424150785,0.76,0.7577777777777778,0.7272727272727273,0.8399999999999996,4.4636e-05
3,0.7110268226319125,0.6471428571428571,0.6879918367346939,0.5400372439478585,0.7099999999999996,0.6369327257573605,0.7666666666666667,0.7596444444444445,0.7154471544715447,0.8299999999999996,4.4636e-05
4,0.6975083880791707,0.68,0.704,0.6636636636636637,0.47999999999999976,0.6045345057050387,0.7466666666666667,0.7696000000000001,0.6779661016949152,0.46999999999999986,4.4636e-05
5,0.6706253769328552,0.7057142857142857,0.7279102040816325,0.6531986531986532,0.6499999999999997,0.5641594652086497,0.7933333333333333,0.8027555555555556,0.7559055118110236,0.6299999999999997,4.4636e-05
6,0.6449070643846477,0.7114285714285714,0.771073469387755,0.6957831325301205,0.46999999999999986,0.804921715632081,0.7466666666666667,0.7572444444444444,0.75,0.8599999999999995,4.4636e-05
7,0.5682266931302313,0.7657142857142857,0.8372204081632654,0.7663817663817664,0.3899999999999999,0.6442612346385916,0.7733333333333333,0.8504,0.7671232876712328,0.8399999999999996,4.4636e-05
8,0.49613663598096797,0.8028571428571428,0.8716408163265305,0.775974025974026,0.7599999999999997,0.8067818343825638,0.7733333333333333,0.8389333333333333,0.7792207792207793,0.8599999999999995,4.4636e-05
9,0.5482062076477866,0.8342857142857143,0.8808081632653062,0.8361581920903954,0.48999999999999977,0.6682341696942846,0.8133333333333334,0.8557333333333333,0.8227848101265823,0.15999999999999998,4.4636e-05
10,0.527667628963744,0.8457142857142858,0.8937877551020409,0.8430232558139535,0.6099999999999998,0.9146308631946644,0.7733333333333333,0.8431111111111111,0.782051282051282,0.8699999999999996,4.4636e-05
11,0.5412508478095489,0.8428571428571429,0.8799918367346939,0.8323170731707317,0.6099999999999998,1.056480696660777,0.76,0.8281777777777778,0.7804878048780488,0.8899999999999996,4.4636e-05
12,0.5070006305208828,0.8528571428571429,0.9052326530612245,0.8583218707015131,0.2699999999999999,0.8685374909018477,0.8,0.8631111111111112,0.8192771084337349,0.8199999999999996,4.4636e-05
13,0.5104609079732161,0.8557142857142858,0.9037183673469389,0.8606896551724138,0.23999999999999994,0.8497957582337161,0.8066666666666666,0.8746666666666667,0.8242424242424242,0.8999999999999996,4.4636e-05
14,0.4385695322726055,0.8771428571428571,0.9321673469387755,0.8742690058479532,0.8099999999999996,0.805080113367488,0.8133333333333334,0.8802666666666666,0.8227848101265823,0.8099999999999996,4.4636e-05
15,0.40347746630265774,0.8985714285714286,0.9346897959183673,0.8992907801418439,0.5199999999999998,0.8718344036862254,0.8,0.8696888888888888,0.8125,0.8399999999999996,4.4636e-05
16,0.4127965106991386,0.8971428571428571,0.9382081632653061,0.8977272727272727,0.7999999999999996,0.8499147633525233,0.82,0.883111111111111,0.8383233532934131,0.8199999999999996,4.4636e-05
17,0.34661775286608776,0.9114285714285715,0.9531510204081632,0.9134078212290503,0.1,1.0355804293074955,0.78,0.8923555555555556,0.8092485549132948,0.7799999999999997,4.4636e-05
18,0.351480730421442,0.9214285714285714,0.9443387755102042,0.9213161659513591,0.1,0.8578057762763153,0.82,0.9017777777777778,0.8363636363636363,0.48999999999999977,4.4636e-05
19,0.4016597035324334,0.9028571428571428,0.9452857142857144,0.9028571428571428,0.6199999999999998,0.7737954450988521,0.82,0.9056000000000001,0.8363636363636363,0.8099999999999996,4.4636e-05
20,0.3719153728691994,0.9042857142857142,0.9474326530612244,0.9021897810218978,0.8099999999999996,0.7613592787428448,0.8066666666666666,0.8784888888888889,0.8104575163398693,0.7899999999999996,4.4636e-05
21,0.28631879051315734,0.9257142857142857,0.9605959183673469,0.9255014326647565,0.5899999999999997,0.834548975493138,0.8266666666666667,0.8968888888888888,0.8375,0.6499999999999997,4.4636e-05
22,0.306762452121059,0.9314285714285714,0.9636857142857141,0.9331476323119777,0.11,1.034562342343852,0.78,0.8744,0.7950310559006211,0.8699999999999996,4.4636e-05
23,0.29644471352753626,0.93,0.9648367346938775,0.9284671532846716,0.8399999999999996,0.9543912381213159,0.7933333333333333,0.8834666666666666,0.8143712574850299,0.3699999999999999,4.4636e-05
24,0.2660006169700396,0.94,0.970204081632653,0.94,0.32999999999999985,0.7733407504701366,0.8333333333333334,0.8957333333333334,0.8387096774193549,0.8999999999999996,2.2318e-05
25,0.20657197126386953,0.9542857142857143,0.9797061224489796,0.9536231884057971,0.8199999999999996,0.7728100222240513,0.8466666666666667,0.9082666666666667,0.8553459119496856,0.32999999999999985,2.2318e-05
