epoch,train_loss,train_acc,train_auc,train_f1,train_threshold,dev_loss,dev_acc,dev_auc,dev_f1,dev_threshold,lr
1,0.7847320076823234,0.53,0.5204979591836735,0.48992248062015503,0.5399999999999998,0.7333305239677429,0.62,0.6613333333333334,0.6586826347305389,0.48999999999999977,4.4636e-05
2,0.7597569483092853,0.5214285714285715,0.5169918367346938,0.6026097271648873,0.4199999999999998,0.7565415569146474,0.6333333333333333,0.6366222222222223,0.4954128440366973,0.6199999999999998,4.4636e-05
3,0.7356080322819096,0.5657142857142857,0.5891469387755103,0.580110497237569,0.5099999999999998,0.7742397266626359,0.6266666666666667,0.6378666666666667,0.5483870967741935,0.7599999999999997,4.4636e-05
4,0.7240962721726724,0.6128571428571429,0.6521469387755101,0.6134094151212554,0.45999999999999985,0.7741178153455257,0.6333333333333333,0.6415111111111111,0.5801526717557252,0.3599999999999999,4.4636e-05
5,0.7216602477910263,0.6414285714285715,0.6634,0.6281481481481481,0.45999999999999985,0.8812450016041596,0.6666666666666666,0.6756444444444444,0.6753246753246753,0.8199999999999996,4.4636e-05
6,0.695649677206363,0.6914285714285714,0.7253428571428573,0.6645962732919255,0.5799999999999997,0.6638371299455563,0.7066666666666667,0.7579555555555555,0.65625,0.4199999999999998,4.4636e-05
7,0.6390871283225715,0.7114285714285714,0.7650244897959184,0.680379746835443,0.5599999999999997,0.5082536594445507,0.8266666666666667,0.8927111111111112,0.8333333333333334,0.6199999999999998,4.4636e-05
8,0.61696195807441,0.7671428571428571,0.8235510204081633,0.7480680061823802,0.6499999999999997,0.617550707111756,0.8133333333333334,0.8819555555555556,0.8133333333333334,0.8899999999999996,4.4636e-05
9,0.6247166487621143,0.7971428571428572,0.8542,0.793002915451895,0.4199999999999998,0.637065039438506,0.82,0.8717333333333332,0.8137931034482758,0.8599999999999995,4.4636e-05
10,0.6113829464352291,0.8214285714285714,0.8609795918367348,0.8137108792846498,0.6399999999999997,1.0348045794355372,0.7466666666666667,0.8354666666666666,0.6833333333333333,0.1,4.4636e-05
11,0.6289891742482515,0.82,0.862277551020408,0.8292682926829268,0.11,0.6996856664804121,0.8266666666666667,0.8858666666666667,0.8311688311688312,0.8099999999999996,4.4636e-05
12,0.5107132366066799,0.8614285714285714,0.906073469387755,0.8558692421991084,0.8999999999999996,0.6550692832656204,0.84,0.8889777777777776,0.8309859154929577,0.8799999999999996,2.2318e-05
13,0.49440657889670026,0.8714285714285714,0.9198816326530612,0.869942196531792,0.44999999999999984,0.6769692186700801,0.84,0.8759111111111111,0.8378378378378378,0.6599999999999997,2.2318e-05
