epoch,train_loss,train_acc,train_auc,train_f1,train_threshold,dev_loss,dev_acc,dev_auc,dev_f1,dev_threshold,lr
1,0.7536013465268271,0.53,0.5149020408163265,0.5630810092961488,0.46999999999999986,0.696807501912117,0.68,0.6928888888888889,0.6666666666666666,0.5299999999999998,3e-05
2,0.698829456099442,0.5985714285714285,0.628269387755102,0.46880907372400754,0.6099999999999998,0.6510254777471225,0.74,0.7380444444444443,0.7111111111111111,0.6999999999999996,3e-05
3,0.6371595032087394,0.6714285714285714,0.7214571428571428,0.6127946127946128,0.6099999999999998,0.699801505903403,0.76,0.78,0.7272727272727273,0.22999999999999995,3e-05
4,0.6461202956576433,0.69,0.7391959183673469,0.693069306930693,0.46999999999999986,0.5784024421374003,0.7733333333333333,0.7899555555555555,0.75,0.29999999999999993,3e-05
5,0.6182836326397956,0.6971428571428572,0.7446448979591838,0.6466666666666666,0.6099999999999998,0.6362988288452228,0.78,0.7667555555555555,0.7591240875912408,0.8399999999999996,3e-05
6,0.6114416346259948,0.72,0.772269387755102,0.7151162790697675,0.47999999999999976,0.7576640940457583,0.7533333333333333,0.7515555555555555,0.7482993197278912,0.8499999999999996,3e-05
7,0.6024691851756402,0.7342857142857143,0.7849510204081633,0.7173252279635258,0.4999999999999998,0.6080675168832144,0.7866666666666666,0.8228444444444444,0.7714285714285715,0.8399999999999996,3e-05
8,0.5895543573198042,0.7857142857142857,0.8219061224489795,0.7844827586206896,0.43999999999999984,0.5031482481211423,0.8133333333333334,0.8642666666666667,0.8,0.5499999999999998,3e-05
9,0.4794507304565715,0.8185714285714286,0.8664979591836734,0.8101644245142003,0.5199999999999998,0.7447195876389742,0.76,0.8264,0.7692307692307693,0.7999999999999996,3e-05
10,0.4967454358123775,0.8228571428571428,0.8745795918367347,0.8202898550724638,0.48999999999999977,0.8783194318289558,0.7533333333333333,0.8330666666666666,0.7784431137724551,0.8399999999999996,3e-05
11,0.43264840319752695,0.8485714285714285,0.9124367346938775,0.8472622478386167,0.5699999999999997,0.7851071570937832,0.7866666666666666,0.840088888888889,0.8024691358024691,0.34999999999999987,3e-05
12,0.4670331455341407,0.86,0.9109510204081632,0.8615819209039548,0.19999999999999996,0.8810608574313422,0.7666666666666667,0.8328,0.7651006711409396,0.8999999999999996,3e-05
13,0.4186585901291775,0.8771428571428571,0.9145224489795919,0.8774928774928775,0.19999999999999996,0.7771934049886962,0.7733333333333333,0.842488888888889,0.7733333333333333,0.7199999999999996,1.5e-05
14,0.3724673983953627,0.8914285714285715,0.9420367346938775,0.8858858858858859,0.8599999999999995,0.9536306016892194,0.7533333333333333,0.8340444444444446,0.7643312101910829,0.8999999999999996,1.5e-05
