epoch,train_loss,train_acc,train_auc,train_f1,train_threshold,dev_loss,dev_acc,dev_auc,dev_f1,dev_threshold,lr
1,0.7931185310546841,0.5228571428571429,0.49731428571428576,0.4506578947368421,0.5399999999999998,0.6932958263158798,0.7066666666666667,0.7253333333333334,0.6666666666666666,0.48999999999999977,3.9126e-05
2,0.7386319595202804,0.6414285714285715,0.6654775510204083,0.5958132045088567,0.5299999999999998,0.7174662090092897,0.7466666666666667,0.7362666666666666,0.7285714285714285,0.7899999999999996,3.9126e-05
3,0.8468073657926705,0.6985714285714286,0.7257306122448979,0.6523887973640856,0.5799999999999997,0.7692760387683908,0.7666666666666667,0.7610666666666667,0.7552447552447552,0.8499999999999996,3.9126e-05
4,0.7922822975433831,0.69,0.728326530612245,0.6528,0.45999999999999985,0.878644531617562,0.7533333333333333,0.7784,0.7482993197278912,0.8999999999999996,3.9126e-05
5,0.8393796196673066,0.7071428571428572,0.744734693877551,0.71004243281471,0.3599999999999999,0.7876722073058288,0.7666666666666667,0.7700444444444445,0.7445255474452555,0.8399999999999996,3.9126e-05
6,0.8274706259569419,0.72,0.7728653061224489,0.7191977077363897,0.23999999999999994,1.5310652800028524,0.6,0.6493333333333333,0.6774193548387096,0.8799999999999996,3.9126e-05
7,0.8643654570522319,0.7414285714285714,0.7743673469387755,0.7149606299212599,0.7099999999999996,0.8097512454663713,0.7666666666666667,0.8109333333333334,0.7445255474452555,0.13999999999999999,3.9126e-05
8,0.804923839751365,0.7657142857142857,0.795534693877551,0.7544910179640718,0.5999999999999998,1.0075166282740733,0.7333333333333333,0.7988444444444444,0.7402597402597403,0.8599999999999995,3.9126e-05
9,0.807203081606089,0.7757142857142857,0.8011224489795918,0.7701317715959004,0.5599999999999997,0.9323310815791289,0.7266666666666667,0.8151999999999999,0.7172413793103448,0.2599999999999999,3.9126e-05
10,0.8176383439890508,0.7642857142857142,0.7825632653061225,0.7393364928909952,0.8099999999999996,0.9484112020581961,0.7333333333333333,0.8034666666666667,0.7333333333333333,0.8999999999999996,3.9126e-05
11,0.7152212401479483,0.7914285714285715,0.8361551020408164,0.7833827893175074,0.5299999999999998,1.0938983714642625,0.7333333333333333,0.8048,0.7619047619047619,0.8999999999999996,3.9126e-05
12,0.7061983588357855,0.8042857142857143,0.8562857142857143,0.7964338781575037,0.5899999999999997,0.8228228971300026,0.7666666666666667,0.8605333333333334,0.7619047619047619,0.16999999999999998,3.9126e-05
13,0.6568598478506984,0.83,0.8807510204081632,0.8312056737588652,0.15999999999999998,1.1622684057801962,0.7333333333333333,0.8154666666666667,0.7619047619047619,0.8399999999999996,3.9126e-05
14,0.6034925793107998,0.8557142857142858,0.8873469387755103,0.8521229868228404,0.7799999999999997,1.1494283171370625,0.74,0.8303111111111111,0.7417218543046358,0.7599999999999997,3.9126e-05
15,0.5240532405288624,0.88,0.9093591836734694,0.8768328445747801,0.24999999999999992,1.3362220103448879,0.74,0.8161777777777778,0.7607361963190185,0.8999999999999996,3.9126e-05
16,0.5463158155360724,0.8742857142857143,0.915534693877551,0.8770949720670391,0.43999999999999984,1.1818889669235795,0.7533333333333333,0.8091555555555556,0.725925925925926,0.1,3.9126e-05
17,0.523664574493388,0.8814285714285715,0.9169795918367346,0.8795355587808418,0.8399999999999996,1.0584433974977583,0.7733333333333333,0.8682666666666666,0.782051282051282,0.7399999999999997,1.9563e-05
18,0.4530235940663676,0.8985714285714286,0.9353224489795919,0.895741556534508,0.8699999999999996,1.1214812325593084,0.7666666666666667,0.8640888888888889,0.779874213836478,0.6199999999999998,1.9563e-05
19,0.394182287509154,0.9157142857142857,0.9457224489795917,0.914616497829233,0.6599999999999997,1.103930836301297,0.7666666666666667,0.8660444444444444,0.782608695652174,0.7699999999999997,1.9563e-05
20,0.4479882352591293,0.9028571428571428,0.9365142857142856,0.9036827195467422,0.1,0.9892831755119066,0.7866666666666666,0.8664888888888889,0.7777777777777778,0.8399999999999996,1.9563e-05
21,0.4208043150068261,0.9128571428571428,0.9341183673469389,0.911976911976912,0.6299999999999997,0.951358793405816,0.8066666666666666,0.8761777777777778,0.8129032258064516,0.3199999999999999,1.9563e-05
22,0.3869864193712627,0.9157142857142857,0.9444612244897959,0.9138686131386862,0.5799999999999997,1.04905592024792,0.8,0.8717333333333332,0.8051948051948052,0.7099999999999996,1.9563e-05
23,0.4243725985089051,0.9128571428571428,0.937073469387755,0.9137199434229137,0.13999999999999999,1.015424798540771,0.8,0.8745777777777777,0.8125,0.1,1.9563e-05
24,0.3267203230291073,0.9342857142857143,0.9585632653061225,0.9337175792507204,0.7499999999999997,1.1255756308945517,0.7866666666666666,0.8468444444444445,0.7922077922077922,0.6299999999999997,1.9563e-05
25,0.31221197476926527,0.9371428571428572,0.9542653061224491,0.936046511627907,0.23999999999999994,1.1378199097607284,0.7866666666666666,0.8719111111111111,0.8,0.6999999999999996,1.9563e-05
