epoch,train_loss,train_acc,train_auc,train_f1,train_threshold,dev_loss,dev_acc,dev_auc,dev_f1,dev_threshold,lr
1,0.7506348279757159,0.52,0.5129428571428571,0.5058823529411764,0.5099999999999998,0.7388861548900604,0.5933333333333334,0.6352888888888888,0.512,0.6399999999999997,3e-05
2,0.7340067958193166,0.5242857142857142,0.5249061224489796,0.4788732394366197,0.5399999999999998,0.6805918010075888,0.7,0.7254222222222223,0.7058823529411765,0.4099999999999998,3e-05
3,0.7038048602108444,0.59,0.6184775510204081,0.6362484157160964,0.4299999999999998,0.7156664897998174,0.74,0.7436444444444446,0.738255033557047,0.7599999999999997,3e-05
4,0.669649884775281,0.6671428571428571,0.7005755102040816,0.6431852986217458,0.5499999999999998,0.5885846675932407,0.7466666666666667,0.7716444444444445,0.7323943661971831,0.33999999999999986,3e-05
5,0.6343158916171108,0.6942857142857143,0.7435918367346939,0.7161803713527851,0.3799999999999999,0.5315257174273332,0.7733333333333333,0.7938666666666667,0.7424242424242424,0.5199999999999998,3e-05
6,0.630768373307905,0.7042857142857143,0.7422938775510204,0.703012912482066,0.46999999999999986,0.5511023936669032,0.78,0.8115555555555556,0.736,0.7899999999999996,3e-05
7,0.6050052106194198,0.7285714285714285,0.7764530612244898,0.7181008902077152,0.46999999999999986,0.6287677985181411,0.78,0.7976000000000001,0.7692307692307693,0.8099999999999996,3e-05
8,0.5950787517880755,0.73,0.7920571428571429,0.7272727272727273,0.34999999999999987,0.9390975985924402,0.6866666666666666,0.7026666666666667,0.7344632768361582,0.7999999999999996,3e-05
9,0.5443041493105036,0.7742857142857142,0.8276979591836735,0.7613293051359517,0.5599999999999997,0.5945514854043722,0.8,0.828,0.8,0.6599999999999997,3e-05
10,0.5615247288399509,0.7928571428571428,0.8442326530612245,0.7960618846694796,0.32999999999999985,0.701754912075897,0.7866666666666666,0.8129777777777778,0.8,0.3599999999999999,3e-05
11,0.5186891440967364,0.8157142857142857,0.8772367346938776,0.8159771754636234,0.45999999999999985,0.69515804130584,0.8,0.8380444444444445,0.7945205479452054,0.4099999999999998,3e-05
12,0.5350025581994227,0.82,0.8785306122448979,0.8136094674556213,0.6299999999999997,0.7095199134697516,0.78,0.8224888888888889,0.7555555555555555,0.8599999999999995,3e-05
13,0.48212070612902086,0.8442857142857143,0.8916857142857144,0.8408759124087591,0.6099999999999998,0.783942645099014,0.8066666666666666,0.8400000000000001,0.8,0.8899999999999996,3e-05
14,0.47222152434089887,0.8557142857142858,0.8971020408163265,0.8462709284627092,0.8299999999999996,0.7718900280011197,0.7866666666666666,0.8317333333333333,0.7714285714285715,0.8899999999999996,3e-05
15,0.46726813322265764,0.8585714285714285,0.8996285714285714,0.8563134978229318,0.48999999999999977,0.6458226288358371,0.8266666666666667,0.8384888888888888,0.8088235294117647,0.5699999999999997,3e-05
16,0.4255147893321035,0.8842857142857142,0.9162081632653061,0.8831168831168831,0.45999999999999985,0.7442085656213263,0.7866666666666666,0.8754666666666666,0.7808219178082192,0.8699999999999996,3e-05
17,0.3863694777805358,0.89,0.9346612244897958,0.8917018284106891,0.22999999999999995,0.8237317811883986,0.7866666666666666,0.8629333333333333,0.7894736842105263,0.15999999999999998,3e-05
18,0.40075814685651234,0.89,0.9275877551020407,0.8865979381443299,0.6699999999999997,0.9956098549347371,0.7533333333333333,0.8261333333333334,0.7581699346405228,0.8699999999999996,3e-05
19,0.3737217266681338,0.8985714285714286,0.9383836734693878,0.8998589562764457,0.18999999999999995,0.9447867457816999,0.7666666666666667,0.8534222222222222,0.782608695652174,0.48999999999999977,3e-05
20,0.34705166402672016,0.9028571428571428,0.9509836734693876,0.9002932551319648,0.7799999999999997,1.0507536130181203,0.7533333333333333,0.852888888888889,0.7643312101910829,0.8799999999999996,3e-05
21,0.3420450525877199,0.9071428571428571,0.9495959183673468,0.9067431850789096,0.5399999999999998,0.9221289029872666,0.7866666666666666,0.8543111111111111,0.7922077922077922,0.8899999999999996,1.5e-05
22,0.2879940001247451,0.9271428571428572,0.9602693877551021,0.927246790299572,0.30999999999999994,0.7578731471424301,0.82,0.8739555555555556,0.8211920529801324,0.7999999999999996,1.5e-05
