epoch,train_loss,train_acc,train_auc,train_f1,train_threshold,dev_loss,dev_acc,dev_auc,dev_f1,dev_threshold,lr
1,0.747922663305487,0.5257142857142857,0.5267224489795919,0.5202312138728323,0.5099999999999998,0.7023646314938863,0.6333333333333333,0.6622222222222223,0.5736434108527132,0.5499999999999998,3e-05
2,0.7136885664292745,0.5628571428571428,0.5778775510204082,0.5677966101694916,0.48999999999999977,0.6379857158660889,0.7266666666666667,0.7389333333333332,0.7132867132867133,0.3999999999999998,3e-05
3,0.6911656704970769,0.6357142857142857,0.6551591836734695,0.6423562412342216,0.4999999999999998,0.5733818578720092,0.76,0.7658666666666666,0.7464788732394366,0.4199999999999998,3e-05
4,0.6527240000425705,0.6728571428571428,0.7260489795918368,0.6815020862308763,0.45999999999999985,0.610227820277214,0.7733333333333333,0.7796444444444444,0.7166666666666667,0.8799999999999996,3e-05
5,0.682805179006287,0.6585714285714286,0.6978408163265306,0.6236220472440945,0.5799999999999997,0.6577761746446291,0.7666666666666667,0.7791111111111111,0.7407407407407407,0.8699999999999996,3e-05
6,0.65144756387387,0.6871428571428572,0.7305959183673469,0.6518282988871225,0.5399999999999998,0.6136454853663842,0.7733333333333333,0.7797333333333333,0.7424242424242424,0.6399999999999997,3e-05
7,0.6360403146993902,0.71,0.7577795918367347,0.6731078904991948,0.5299999999999998,0.817407334446907,0.72,0.7436444444444444,0.7272727272727273,0.8099999999999996,3e-05
8,0.6224380687411343,0.7157142857142857,0.7594489795918368,0.6856240126382307,0.5499999999999998,0.7742784913380941,0.7533333333333333,0.7975111111111112,0.7482993197278912,0.8999999999999996,3e-05
9,0.5930827984027565,0.7428571428571429,0.7782408163265306,0.7337278106508875,0.4999999999999998,0.7945890640964111,0.74,0.7328888888888888,0.7417218543046358,0.8499999999999996,3e-05
10,0.6264129289998007,0.7271428571428571,0.7781061224489796,0.7047913446676971,0.44999999999999984,0.7120270304381847,0.7533333333333333,0.7591111111111112,0.7516778523489933,0.8499999999999996,3e-05
11,0.5738226287239896,0.7442857142857143,0.8032897959183674,0.7300150829562594,0.48999999999999977,0.6709167503068845,0.7733333333333333,0.8099555555555557,0.7638888888888888,0.8999999999999996,3e-05
12,0.5389281025429123,0.7757142857142857,0.8357673469387755,0.7734487734487735,0.4199999999999998,0.6895619092012445,0.7666666666666667,0.8157333333333333,0.7741935483870968,0.6599999999999997,3e-05
13,0.5200059079738067,0.7985714285714286,0.8583224489795918,0.7917282127031019,0.4999999999999998,0.710077235326171,0.7733333333333333,0.8316444444444444,0.7792207792207793,0.8199999999999996,3e-05
14,0.4420553688818057,0.8414285714285714,0.9013877551020408,0.8360413589364845,0.5199999999999998,1.0673255679259697,0.74,0.7793777777777777,0.7771428571428571,0.8999999999999996,3e-05
15,0.39775301038819766,0.8685714285714285,0.9249877551020407,0.8593272171253823,0.6799999999999997,0.7998506238001089,0.7733333333333333,0.848088888888889,0.7763157894736842,0.8899999999999996,3e-05
16,0.40145325964981954,0.8671428571428571,0.9312244897959184,0.8626292466765141,0.44999999999999984,0.9373381980198126,0.7866666666666666,0.8372444444444445,0.8095238095238095,0.8599999999999995,3e-05
17,0.34340687663959607,0.8985714285714286,0.9520244897959184,0.8987161198288159,0.4199999999999998,1.1241099717095495,0.7533333333333333,0.8174222222222223,0.7932960893854749,0.5799999999999997,3e-05
18,0.34536274544196205,0.91,0.9481469387755102,0.9090909090909091,0.15999999999999998,0.95215207234025,0.7866666666666666,0.86,0.8072289156626506,0.7299999999999996,3e-05
19,0.3072565575855385,0.9185714285714286,0.960808163265306,0.9186875891583453,0.3599999999999999,1.103823852846399,0.7666666666666667,0.8595555555555556,0.8022598870056498,0.12,3e-05
20,0.2513091011940768,0.9414285714285714,0.9659795918367348,0.9404934687953556,0.3199999999999999,1.0311498577706515,0.7733333333333333,0.8725333333333333,0.8,0.4299999999999998,3e-05
21,0.26053601030676093,0.93,0.9739551020408164,0.9308885754583921,0.3799999999999999,0.7229600725167742,0.8333333333333334,0.9036444444444444,0.8366013071895425,0.5999999999999998,3e-05
22,0.2398105458793829,0.9471428571428572,0.969261224489796,0.945985401459854,0.7999999999999996,1.0607385671697558,0.7866666666666666,0.868,0.8117647058823529,0.5499999999999998,3e-05
23,0.21150881795778073,0.9442857142857143,0.9826,0.9437229437229437,0.7799999999999997,0.87661889867081,0.8133333333333334,0.8938666666666667,0.825,0.8999999999999996,3e-05
24,0.1880298680585942,0.9557142857142857,0.980404081632653,0.9559032716927454,0.48999999999999977,1.082579136393033,0.7666666666666667,0.864,0.7928994082840237,0.1,3e-05
25,0.18557198582217097,0.9557142857142857,0.9795061224489795,0.9557774607703281,0.18999999999999995,1.1106253578032677,0.8,0.8733333333333334,0.8295454545454546,0.2699999999999999,3e-05
